item_id	Seller	Actors	Actual Color	Artist ID	Aspect Ratio	Color	Genre ID	ISBN	Item Class ID	Literary Genre	MPAA Rating	Product Long Description	Product Name	Product Short Description	Publisher	Recommended Location	Recommended Room	Recommended Use	Short Description	Synopsis	actual_color	tag
2644									19			<p>The CyberPower RMCARD305 is a full-featured network UPS management device that remotely manages, monitors, and controls CyberPower OL Series UPS systems.  The internal card allows remote monitoring and control via Web Browser or NMS connection.  By utilizing the PowerPanel Business Edition Client auto-shutdown software, servers and workstations stay protected from data loss due to power failure.  An optional environmental sensor (ENVIROSENSOR) can be added to monitor ambient temperature and humidity.  Event logging tracks UPS events and input/output status records.  Automated event notifications via email, SMS text, SNMP traps, and Syslog server can be setup to insure real time status of changes.  Firmware can be updated by users to insure you have the latest features and updates.  MD5 security management is also provided to protect the integrity of the network.  Secure emails are delivered using either SSL or TLS. User log in accounts can be secured through either: RADIUS, LDAP, LDAPS, or Windows Active Directory authentication protocols. A Three-Year Warranty ensures the RMCARD305 has passed our highest quality standards in design, assembly, material and workmanship</p><b><U>Technical Information</U><BR></b><br><b>Ports:</b> 1 x RJ-45 Female 10/100Base-TX, 1 x RJ-45 Serial<br><b>Management:</b> <ul> <li>Remote Monitoring</li> <li>Schedule Shutdown/ Startup/ Reboot</li> <li>Automated Event Notifications via Email</li> </ul><br><b>Protocols:</b> TCP/IP, UDP, FTP, DHCP, DNS, SSH, Telnet, HTTP, HTTPS, SNMPv3, SNMP v1, IPv4, IPv6, NTP, SMTP, SSL, Syslog, TLS, RADIUS, LDAP, LDAPS<br><br><b><U>Miscellaneous</U><BR></b><br><b>Package Contents:</b> <ul> <li>RMCARD305 OL Series Remote Management Card - SNMP/HTTP/NMS/Environmental Port</li> <li>Quick Start Guide</li> <li>Spare jumper</li> <li>RMCARD Adapter Guide</li> <li>RMCARD205 Front Panel</li> </ul><br><b>Compatibility:</b> <b>Smart App Online UPS:<br /></b> <ul> <li>OL1000RTXL2U</li> <li>OL1500RTXL2U</li> <li>OL2200RTXL2U</li> <li>OL3000RTXL2U</li> <li>OL6000RT3U</li> <li>OL6000RT3UTF</li> <li>OL6000RT3UPDU</li> <li>OL6000RT3UPDUTF</li> <li>OL6KRT3UHW</li> <li>OL8000RT3U</li> <li>OL8000RT3UTF</li> <li>OL8000RT3UPDU</li> <li>OL8000RT3UPDUTF</li> <li>OL8KRT3UHW</li> <li>OL10000RT3U</li> <li>OL10000RT3UTF</li> <li>OL10000RT3UPDU</li> <li>OL10000RT3UPDUTF</li> <li>OL10KRT3UHW</li> </ul><br><br><b><U>Warranty</U><BR></b><br><b>Limited Warranty:</b> 3 Year	Cyberpower Rmcard305 Ol Series Remote Management Card - Snmp/http/nms/environmental Port - 10/100base-tx, Serial (rmcard305)						short description is not available			[4483]
2645	Circuit City		Multicolor						19			<ul><li>24 x NEMA 5-15/20R</li><li>Overload Protection</li><li>120 V AC Input Voltage</li></ul>	Tripp Lite PDUMV30 Metered PDU - 24 x NEMA 5-15/20R - Zero U  Vertical Rackmount, Wall-mountable						Tripp Lite Metered Power Distribution Units give IT Managers the ability to monitor network power consumption levels to prevent mains, generator, UPS or PDU overloads and to ensure proper load balance in complex redundant power applications. Each built-in, easy to read, two-character LED display offers continuous PDU current monitoring data in one-amp increments.			[4483]
2646			Multicolor						19			Features- Input Video Signal 0-5 -1-0 volts p-p- HD Video Format Deep Color- Input DDC Signal 5 volts p-p &#40 TTL&#41- HDMI Version HDMI 1-3- Max Single Link Range 1920X1200, 1080P- Bandwidth Up to 225MHz- HDMI Resolutions 480i&#47 576i &#47480p &#47576p &#47720p &#471080i &#471080P- EIDI Duration 6 seconds- DVI Resolutions 480p &#47576i &#47576p &#47720i &#47720p &#471080i &#471080p- Power supply DC 5V&#641A- HD Audio format LPCM, Dolby-AC3, DTS7-1, DSD&#47Dolby TrueHD&#47DTS-HD master Audio- Dimension - 8-25 x 5-75 x 2-25 in- SKU: RTL46419	SewellHDMI Splitter 1 Source - 4 Output						<b>Features</b>.			[4483]
2647	Tech For Less Inc								19			RCA DRC99392E Portable DVD Player - Top-Load - Stereo - 9.0-inch Display - Black. (Refurbished)<br><br> This is a refurbished item restored to meet manufacturer quality standards. They may show limited signs of use and cosmetic blemishes and carry a manufacturer warranty. If the manufacturer is unable to assist with the warranty, Tech For Less will warrant the item with the same coverage as the manufacturer.  These items can be in the original manufacturer box or repackaged for protection during shipping.<br><ul><li>Model number: DRC99392E</li><li>Product Name: RCA DRC99392E DVD Player</li><li>Product Type: DVD Player</li><li>Form Factor: Portable</li><li>DVD: Media Type: CD-R, CD-RW, DVD, CD; Media Load Type: Top-load</li><li>Display Type: LCD display 9-inch color</li><li>Sound Output Mode: Stereo</li><li>Digital Audio Format: Dolby Digital output</li><li>Speaker System Details: '2 x speaker built-in</li><li>Remote Control Technology: Infrared</li><li>Connector Type: Composite video/audio output (RCA phono x 3), Headphones (mini-phone stereo 3.5 mm)</li><li>Power: Power Device: Power adapter external; Battery Type: Rechargeable Lithium-ion</li><li>Color: Black</li><li>Dimensions: '8.7 x 6.6 x 1.8 inches</li></ul>	RCA DRC99392E Portable DVD Player - Top-Load - Stereo - 9.0-inch (Refurbished)	The RCA DRC99392E Portable DVD Player is designed with 9-inch LCD display, Dolby Digital output audio format.								[95987]
2648			Black						1			Audiopipe 16 Gauge 500Ft Primary Wire, Black	Audiopipe AP16500BK 16 Gauge 500Ft Primary Wire Black						Buy Audiopipe AP16500BK 16 Gauge 500Ft Primary Wire Black with an everday low price and fast shipping! JB Tool Sales			[4537]
2649	Bic Warehouse		Multicolor						19			"<p>Double pole 1"" circuit breaker features 10,000 AIR and 120/240 VAC. Thermal-magnetic tripping mechanism for overload and short-circuit protection of electrical system. Compatible with Homeline load centers and CSED devices. ANSI Certified and UL Listed.</p><p><li>CIRCUIT BREAKERS</li><li>PLUG-IN - DOUBLE POLE</li><li>HACR - RESIDENTIAL</li><li>HOMELINE</li><li>Amp Rating=70</li>"	YOUR ONE SOURCE HOM270CP 70A 2P PLUG-ON CIRCUIT BREAKER						70A 2P PLUGON CIRCUIT BREAKER			[4483]
2650	Monoprice Inc		Black						19			Component video; also known as YPbPr; produces the highest quality analog video- This cable includes conductors For each of the three component video channels Red; Green; Blue and is ideal For connecting the analog video output of DVD players and VCRs to the corresponding inputs on your TV- This video conductors in this cable are made from RG-6 coaxial cable; with 18AWG cores and shielding to prevent EMI and RFI interference from disturbing your video signal- The connectors are gold plated to ensure smooth; corrosion-free connections- The connector housings have color-coded; knurled rubber rings For easy identification and a perfect grip when installing or removing the cable- This cable is CL2 rated; indicating that it conforms with fire safety and insurance requirements; making it safe For use through or within the walls of residential class buildings-- Length - 35 ft-- Color - Black- SKU: MNPR4839	Monoprice 2855 35 ft.  18AWG CL2 Premium 3-RCA Component Video Coaxial Cable, Black						<p>Component video; also known as YPbPr; produces the highest quality analog video.			[4537]
2651	Entrotek		Black		16:9				19			"<br><b>Supersonic SC-2411 24"" 1080p 5ms LED HDTV:</b><ul><li>24"" LCD panel<br>With a 1920 x 1080 Full HD resolution<li>True 16:9 aspect ratio<br>View your movies as the director intended<li>Wide 170-degree vertical and 160-degree horizontal angles<br>See a clear picture from anywhere in the room<li>Built-in digital tuner<br>Watch digital broadcasts, including HDTV programs where available<li>HDMI Inputs: 1<br>Enjoy a superior HD experience with HDMI, the one cable audio/video solution<li>24"" screen measured diagonally from corner to corner<li>Wall-mountable<br>VESA compatible</ul><br>TV stand sold separately. See all <b><a href=""http://www.walmart.com/cp/133114"" target=""_blank""> TV stands</a></b>.</ul><br><br>TV mount sold separately. See all <b> <a href=""http://www.walmart.com/cp/581514"">TV mounts</a></b>."	"Supersonic SC-2411 24"" 1080p 5ms LED HDTV"			Indoor		Television	"Enjoy stunning picture quality and feel like you're right in the middle of the action with this Supersonic 24"" LED HDTV. The HD-quality picture and 170-degree viewing angles will assure that you get the best show possible. Plus, it is wall mountable for a sleek and convenient installation.<br><br><b>Note:</b> You must have a source of HD programming in order to take full advantage of the Supersonic SC-2411 24"" LED HDTV. Contact your local cable or satellite TV provider for details on how to upgrade."			[1229821]
2652	iSave		Multicolor						1			Wilson 955823<br /><br/>Brand New<br/><br/>The <strong>Wilson 955823</strong> is a 20 ft RG58U ultra low-loss coax cable with SMA Male to SMA <br/><br/>Female connectors. This high quality cable allows connections between the amplifier to both inside <br/><br/>or outside antennas. <br/><br /><br/><br /><br/>955823 Features:<br/><br /><br/><br /><br/>Product # 955823<br/><ul><br/><li>Coaxial Cable Extension for Antennas</li><br/><li>Length: 20 ft.</li><br/><li>Minimal Signal Loss</li><br/><li>SMA Male/SMA Female connectors</li><br/><li>Superior Quality</li><br/><li>Indoor / Outdoor Use</li><br/><li>1.0 dB Loss Per 10ft. at 800MHz</li><br/><li>2.66 dB Loss Per 10ft. at 1900MHz</li><br/></ul><br/><br/><ul type=&quot;circle&quot;></ul>	WILSON ELECTRONICS 955823 Coaxial Cable Extension for Antennas	Wilson 955823<br/>Brand NewThe Wilson 955823 is a 20 ft RG58U ultra low-loss coax cable with SMA Male to SMA <br/><br/>Female connectors. This high quality cable allows connections between the amplifier to both inside <br/><br/>or outside antennas. <br/><br/><br/>955823 Features:<br/><br/><br/>Product # 955823<br/><br/>Coaxial Cable Extension for Antennas<br/>Length: 20 ft.<br/>Minimal Signal Loss<br/>SMA Male/SMA Female connectors<br/>Superior Quality<br/>Indoor / Outdoor Use<br/>1.0 dB Loss Per 10ft. at 800MHz<br/>2.66 dB Loss Per 10ft. at 1900MHz								[4536]
2653									1		Not Rated	Based on true story of a strike at a mine in New Mexico a story of prejudice and feminism.<p><strong>Features:</strong></p><ul><li>Rosaura Revueltas, Will Geer, David Wolfe<li>Drama<li>92:00<li>This Disc is formatted for all Regions and has CSS Copyright Protection (will not play in some laptops)<li>4x3	Salt of the Earth DVD-5						Salt of the Earth DVD-5			[95987, 106546, 522484]
2654	Walmart.com		Black						21			"<br><b>Faria Euro 4"" Gauge, Mechanical Speedometer:</b><ul><li>Perimeter-lighted white dial with bold black graphics<li>Black aluminum bezel<li>Flat glass lens</ul>"	"Faria Euro 4"" Gauge, Mechanical Speedometer"						This is a perfect replacement or upgrade for your boat.			[4483]
2655	iSave		Multicolor						19			<br/><br/>16&quot; LED color display<br/>1366 x 768 resolution<br/>Built-in HD digital ATSC TV tuner<br/>16:9 aspect ratio<br/>Contrast ratio: 500:1<br/>480p/720p/1080i<br/>Sleep timer function<br/>Multilanguage on-screen display<br/>HDMI, cable/antenna RF, composite, VGA, PC audio jack, 3.5mm audio & USB input<br/>Coaxial & 3.5mm output<br/>UL/ETL listed<br/>Includes remote<br/><br/><ul type=&quot;circle&quot;></ul>	Naxa NAXNT1507B 16 Widescreen Led Hdtv	16 LED color display<br/>1366 x 768 resolution<br/>Built-in HD digital ATSC TV tuner<br/>16:9 aspect ratio<br/>Contrast ratio: 500:1<br/>480p/720p/1080i<br/>Sleep timer function<br/>Multilanguage on-screen display<br/>HDMI, cable/antenna RF, composite, VGA, PC audio jack, 3.5mm audio & USB input<br/>Coaxial & 3.5mm output<br/>UL/ETL listed<br/>Includes remote								[1229821]
2656	iSave		Black		16:9				19			"<b>RCA DPTM70R 7"" ATSC Portable Digital LED TV:</b><ul><li>ATSC and NTSC hybrid tuner</li><li>7"" active matrix TFT screen</li><li>1,800mAh lithium battery with up to 2 hours of usage time</li><li>SD flash slot</li><li>USB port</li><li>Supports JPEG, MP3, AVI and DivX formats</li><li>Includes RCA portable TV and 100V-240V adapter</li><li>Color: Black</li></ul>"	"RCA DPTM70R 7"" ATSC Portable Digital LED TV, Black"						"The RCA DPTM70R 7"" ATSC Portable LED TV makes it easy to watch TV in a variety of locations. Its features include a 7"" active matrix TFT screen and a hybrid tuner that's compatible with ATSC and NTSC. This RCA portable TV comes with a 1,800mAh lithium battery that can be used for up to 2 hours without needing to be plugged in. A built-B port and an SD flash slot give you extra viewing options on the road. This black 7"" digital TV can play files in JPEG, MP3, AVI and DivX formats in addition to its digital tuner."			[447913]
2657	Pcrush		Multicolor		4:3			6.63296413758e+11	19			<br><b>Thrustmaster 2960708 MFD Cougar Multifunctional USB Cockpit Panels:</b><ul><li>2 multifunctional USB cockpit panel replicas of the U.S. Air Force F-16 MFD<li>Backlighting for buttons with adjustable intensity (via the software or manually)<li>20 buttons with 4 switches per MFD equal 48 programmable controls in total<li>Multi-position, weighted, non-slip and detachable base<li>2 programmable LEDs per MFD to identify the MFD during programming<li>Multifunction display<li>2 plexiglas windows per MFD to insert 1 of the 3 pre-printed cardboard layouts with presets for Microsoft Flight Simulator X<li>Compatible with all flight simulation games (military or civillian) supporting multi-USB<li>Includes CD with plug n play presets for Microsoft Flight Simulator X and Microsoft Flight Simulator 2004</ul>	Thrustmaster 2960708 MFD Cougar Multifunctional USB Cockpit Panels						Forget about your keyboard and take control with real flight instruments for even greater realism.			[4483]
2658			Multicolor						19			<strong>VER97764</strong><BR/>Verbatim Store 'n' Go Micro USB 2.0 Drive Plus<BR/>A rugged portable solution perfect for storing music, videos, school projects or photos. Password protection software available for download. The built-in key ring conveniently clips onto key chains, binders, notebooks and more. The USB connectors are protected by a flexible rubber cover built to withstand rough handling. This sleek and small USB drive is compatible with all USB ports, allowing Verbatim to offer its premier storage solutions to both Mac and PC users. Connector/Port/Interface: USB 2.0 Storage Capacity: 16 GB.<BR/><BR/><strong>UNV12113</strong><BR/>Universal File Folders<BR/>Classic folder constructed to resist tearing. Bottom triple-scored for no-sag expansion. Undercut at tabs for increased indexing area. 11 pt. Manila stock. File Folder Type: Top Tab Size: Letter Folder Material: 11 pt. Manila Colors: Manila.KITUNV12113VER97764. UNV12113VER97764. Shoplet Best Value Kit - Verbatim Store 'n' Go Micro USB 2.0 Drive Plus (VER97764) and Universal File Folders (UNV12113). Data Storage and Media	Shoplet Best Value Kit - Verbatim Store 'n' Go Micro USB 2.0 Drive Plus (VER9...	<strong>VER97764</strong><BR/>Verbatim Store 'n' Go Micro USB 2.0 Drive Plus<BR/>A rugged portable solution perfect for storing music, videos, school projects or photos. Password protection software available for download. The built-in key ring conveniently clips onto key chains, binders, notebooks and more. The USB connectors are protected by a flexible rubber cover built to withstand rough handling. This sleek and small USB drive is compatible with all USB ports, allowing Verbatim to offer its premier storage solutions to both Mac and PC users. Connector/Port/Interface: USB 2.0 Storage Capacity: 16 GB.<BR/><BR/><strong>UNV12113</strong><BR/>Universal File Folders<BR/>Classic folder constructed to resist tearing. Bottom triple-scored for no-sag expansion. Undercut at tabs for increased indexing area. 11 pt. Manila stock. File Folder Type: Top Tab Size: Letter Folder Material: 11 pt. Manila Colors: Manila.KITUNV12113VER97764. UNV12113VER97764. Shoplet Best Value ...								[529295]
2659			Multicolor						1			"<b>General Information</b><li>Product Type:   Wall Mount</li><li>Manufacturer Part Number:   SUA761PU</li><li>Manufacturer Website Address:   http://www.peerlessindustries.com</li><li>Packaged Quantity:   1</li><li>Manufacturer:   Peerless Industries, Inc</li><li>Product Model:   SUA761PU</li><li>Product Name:   Designer Series Universal Ultra Slim Articulating Wall Mount</li><li>Product Line:   Designer</li><li>Brand Name:   Peerless-AV</li><b>Miscellaneous</b><b>Package Contents</b>  <li>Designer Series Universal Ultra Slim Articulating Wall Mount</li> <li>Wall and Display Installation Hardware</li> <li>Installation Instructions</li> <b>Green Compliant</b> Yes<b>Green Compliance Certificate/Authority</b> RoHS<b>Physical Characteristics</b><li>Weight (Approximate):   16.90 lb</li><li>Color:   Gloss Black</li><li>Height:   16.9""</li><li>Width:   24.4""</li><li>Depth:   24.9""</li><li>VESA Mount Standard:   200 x 100</li><b>Product Information</b><li>Device Supported:   Display Screen</li><li>Maximum Load Capacity:   80 lb</li><li>Maximum Screen Size Supported:   65""</li><li>Number of Displays Supported:   1</li><b>Warranty</b><li>Limited Warranty:   5 Year</li><b>Safety Warning</b><b>Additional Product Specifications</b><li>Full Product Specifications:   <a href='http://content.etilize.com/Detailed-Specs/EN/1033175321.html' target='_blank' rel='nofollow'>Click to view</a></li>"	Peerless Designer Wall Mount for Display Screen SUA761PU						"<p>Peerless Designer Wall Mount for Display Screen SUA761PU</p><p>65"" Screen Support - 80 lb Load Capacity - Gloss Black</p>"			[581514]
2660									1			"Heat Shrink Tubing, Material Flexible Polyolefin, Thin Wall, Temp. Range -67 Degrees to 275 Degrees F, Shrink Ratio 2:1, Clear, Length 1000 ft., Wire Range 20 to 18 AWG, I.D. Before Shrinking 0.187 In., I.D. After Shrinking 0.093 In., Wall Thickness After Shrinking 0.020 In., Shrink Temp. 203 Degrees F, Max. Voltage 600V, Features Flame Retardant, Flexible, Standards UL Recognized to Standard 224 - File E35586<br><b>Features</b><ul><li>Features : Flame Retardant, Flexible</li><li>Color : Clear</li><li>Length : 1000 ft.</li><li>Standards : UL Recognized to Standard 224 - File E35586</li><li>Max. Voltage : 600V</li><li>Item : Heat Shrink Tubing</li><li>Wire Range : 20 to 18 AWG</li><li>Shrink Ratio : 2:1</li><li>Material : Flexible Polyolefin</li><li>Temp. Range : -67 Degrees  to 275 Degrees F</li><li>Wall Type : Thin Wall</li><li>I.D. Before Shrinking : 0.187""</li><li>I.D. After Shrinking : 0.093""</li><li>Wall Thickness After Shrinking : 0.020""</li><li>Shrink Temp. : 203 Degrees F</li></ul>"	RAYCHEM CPGI-RNF-100-3/16CL-1000 Shrink Tubing, 0.187 In ID, Clear, 1000 ft	Shrink Tubing,0.187in ID,Clear,1000ft								[4537]
2661	eForCity		Clear						19			<b>Compatible With</b><ul><li>Microsoft Xbox One</li></ul><br/><b>Package Includes</b><ul><li>Crystal Case x 1</li><li>High Speed HDMI Cable with Ethernet x 1</li></ul><br/><b>Item Description</b><ul><li><b>Crystal Case</b></li><li><b>Compatible with: Microsoft Xbox One</b></li><li><b><font color='red'>NOT compatible with: Microsoft Xbox, Xbox 360</font></b></li><li>Protect your Microsoft Xbox One controller against everyday hazards and scratches with this front crystal case</li><li>Provide an instant protection from scratches, dirt, and grease caused by everyday use (and abuse)</li><li>Allow easy access to all buttons and ports without having to remove the skin</li><li>Solid see-through plastic protection</li><li>Color: Clear</li><li>Size: Perfect fit</li><li>Accessory ONLY;  controller not included</li></ul><hr/><ul><li><b>High Speed HDMI Cable with Ethernet</b></li><li>High performance home theater interconnect for high-definition DVD players, HDTV receivers, TV sets, projectors, a/v receivers, and other HDMI-equipped devices</li><li>A premium quality HDMI - HDMI cable suitable for use with camcorders</li><li>Connectors features molded strain-relief, and mylar-foil shielding</li><li>High quality materials and construction ensure a lifetime of dependable performance</li><li>Fully HDCP compliant to provide highest level of signal quality</li><li>Fully compatible with High Speed HDMI with Ethernet specification (Version 1.4)</li><li>A superb cable with excellent audio-visual transfer properties that deliver signal without compromising purity and balance</li><li>Features:</li><li>Connectors ensure superior signal transfer</li><li>Large gauge PVC jacket provides maximum shielding against wear and tear and extreme temperatures</li><li>Reinforced quad-layer braided shielding and Mylar-foil shielding provides utmost protection against RF and EM interference</li><li>Molded strain-relief design lessens plug/socket pressure</li><li>Designed to meet all HDMI standards</li><li>Supports 480i, 480p, 720p, 1080i, 1080p and 4K resolution</li><li>Color: Red</li><li>Cable Length: 10 Feet / 3 M</li><li>Suggested Applications: HDTVs, HD DVs, Cameras, Game Consoles with HDMI and HDMI Type D Micro Connectors</li><li>Connectors: HDMI Male to HDMI Male</li><li>Even though HDMI cables support Hot Plug Detection, improper usage might result in resetting / restarting both devices, or even may cause damage to the devices. Therefore, we do not suggest Hot Plug action for any HDMI cables. Please make sure both input and output devices are off when plugging or unplugging HDMI cables.</li></ul><ul><li>California Proposition 65 warning: This product contains chemicals known to the State of California to cause cancer and birth defects or other reproductive harm.</li><li>Product names are trademark of listed manufacturer or other owners, and are not trademarks of eForCity Corp. The manufacturer does not necessarily endorse use of these products.</li></ul>	Insten 10FT 3m Red 1.4 HDMI Cable Ethernet 3D 1080p M/M+Crystal Clear Hard Case Cover for xBox One	<ul><li>Crystal Case x 1</li><li>High Speed HDMI Cable with Ethernet x 1</li></ul>								[4537]
2662	Pcrush		Multicolor						19			<b>General Information</b><li>Manufacturer:   Hewlett-Packard</li><li>Manufacturer Part Number:   AP820A</li><li>Product Name:   SFP+ Cable</li><li>Manufacturer Website Address:   www.hp.com</li><li>Product Type:   Network Cable</li><li>Brand Name:   HP</li><b>Technical Information</b><li>Cable Length:   16.4ft</li><li>Conductor:   Copper</li><li>Connector on First End:   SFP+</li><li>Fiber Optic Mode:   Not Applicable</li><li>Core/Cladding Diameter:   Not Applicable</li><b>Physical Characteristics</b><b>Miscellaneous</b><b>Warranty</b>	HP SFP+ Cable						HP AP820A SFP+ Cable			[4537]
2663	Pcrush		Multicolor						19			Technical InformationAdapter Type:SerialConnector on First End:1 x 9-pin DB-9 FemaleConnector on Second End:1 x 9-pin DB-9 FemaleMiscellaneousAdditional Information:<ul><li>State-of-the-art wiring design ensures 100% compatibility with all, devices 100% of the time</li><li>Aluminum undermold shield helps to meet FCC Requirements on EMI/RFI interference</li><li>PVC premold encapsulates individual conductors to ensure electrical isolation and relieve stress</li><li>All lines wired straight-through point-to-point</li><li>This Adapter is fully tested and certified by Belkin to meet or Exceed applicable Industry Standards</li><li>Connect two Cables, or a Cable and a device with male DB9 connectors</li></ul>Compatibility:<ul><li>-</li></ul>WarrantyLimited Warranty:Lifetime	Belkin DB9 Low Profile Gender Changer - 1 x DB-9 Female - 1 x DB-9 Female						Belkin DB9 Low Profile Gender Changer F4A093 Cable Adapters			[4537]
2664	Circuit City		Brown						19			While on the road, at home or at work, the Kingston 16GB DataTraveler microDuo USB 2.0 On-The-Go Flash Drive can make a good tool.<br><b>Kingston 16GB DataTraveler microDuo USB 2.0 On-The-Go Flash Drive:</b><ul><li>Capacity: 16GB</li><li>USB and microUSB 2.0 interfaces</li><li>Extra storage for mobile devices</li><li>Kingston DataTraveler microDuo USB flash drive has a small form factor</li><li>Plug-and-play</li><li>Stores large files</li><li>Helpful to use when traveling and needing to access saved documents</li><li>Brown color, lightweight and has protective cover</li></ul>	Kingston 16GB DataTraveler microDuo USB 2.0 On-The-Go Flash Drive						The handy Kingston 16GB DataTraveler microDuo USB 2.0 On-The-Go Flash Drive can help you save important files and make them portable. This accessory is small, convenient and easy to carry. The Kingston DataTraveler microDuo USB flash drive allows mobile devices to securely connect to supported devices. Large files such as, presentations, spreadsheets and documents can be easily saved and stored. While at the hotel room or conference location, the item can simply be plugged into the device and all the saved data should be readily available. It has plug-and-play functionality. An additional benefit of the brown Kingston 16GB flash drive is that it is lightweight and has a helpful protective cover.			[529295]
2665			Multicolor						19			Kanex ATVPRO<br /><br/>Brand New<br/><br/>Product # ATVPRO<br/><br/><b>AirPlay&reg; Mirroring For VGA Projector</b>Kanex ATV Pro allows a VGA projector to use Apple AirPlay mirroring from an iPad to Apple TV. Eliminate the need for expensive HDMI projection equipment upgrades. Join the thousands of classrooms nationwide that can mirror and stream content direct to a VGA projector via an Apple TV.<br/><br/> ATVPRO Features:<ul><li> Functions: Signal Conversion</li><li> Functions: Mirroring</li><li> HDMI: Yes</li><li> VGA: Yes</li><li> Audio Line Out: Yes</li></ul><br/><br/><ul type=&quot;circle&quot;></ul>	Kanex ATVPRO Signal Converter w/ HDMI to VGA & Audio Support						Kanex ATVPROBrand NewProduct # ATVPROAirPlay Mirroring For VGA ProjectorKanex ATV Pro allows a VGA projector to use Apple AirPlay mirroring from an iPad to Apple TV. Eliminate the need for expensive HDMI projection equipment upgrades. Join the thousands of classrooms nationwide that can mirror and stream content direct to a VGA projector via an Apple TV. ATVPRO Features: Functions: Signal Conversion Functions: Mirroring HDMI: Yes VGA: Yes Audio Line Out: Yes			[4537]
2666									19			<ul><li>48x CD-R recording, 16x CD-RW re-writing and 48x CD reading<li>Standard EIDE/ATAPI interface<li>Ultra DMA supported<li>110-ms access speed<li>High-capacity 8 MB memory buffer for reliable recording<li>Dynamic Vibration Absorber reduces noise and vibration<li>Can be mounted horizontally or vertically<li>Records 700 and 650 MB CD-RW discs<li>Records 700, 650 and 550 MB CD-R discs<li>Compatible with CD-R/RW, CD-ROM, CD-DA, CD-ROM/XA, Video-CD, CD-I, Photo CD, CD-Extra and CD-Text formats<li>Writing methods: DAO (Disc At Once), TAO (Track At Once), SAO (Session At Once), Packet Writing (variable, fixed packet)<li>Transfer rates: 7200 KB/second for writing CD-Rs, 2400 KB/second for re-writing CD-RWs, 7200 KB/second reading CDs<li>16.6 MB/second rate for DMA Mode 2 and PIO Mode 4<li>Front-panel headphone jack with volume control</ul><b>PC Requirements:</b><ul><li>Windows 95, 98, NT 4.0, ME or 2000<li>266 MHz Pentium II-class processor or faster<li>64 MB RAM<li>1 GB free hard drive space</ul>	Samsung 48x CD-RW Internal Drive SW-248F/RASF	This high-speed CD burner lets you back up data and record music when used with compatible Windows-based PCs. Includes Roxio music recording software.								[127175]
2667									19			<br /><ul><li>This 3.5mm male plug connector&nbsp; is ideal accessory for video audio cable connect.</li><li>This 35mm connector offers excellent quality for today audio, video and home theater applications.</li><li>It will provide very tight connection and minimum signal loss.</li></ul>	8Pcs 3.5mm Male Mono Jack Plug Audio Booted Connector for Headset						"Color : Silver Tone, Black;Hole Dia : 5mm/0.2""Plug Dia : 3.5mm;Dimension : 5 x 0.9cm/ 2"" x 0.35"" (L*D)Net Weight : 16gPackage Content : 8 x 3.5mm Mono Male Plug"			[4537]
2668	Wayfair								19			"<br><b>TygerClaw Fixed Wall Mount for 23""-37"" Flat Panel TV:</b><ul><li>Holds most 23 to 37"" flat panel TV up to 99 lbs<li>Universal mounting pattern up to 480mm x 330mm<li>Solid heavy-gauge cold steel construction<li>Medium size fixed wall mount<li>Quick and easy installation</ul>"	"TygerClaw Fixed Wall Mount for 23""-37"" Flat Panel TV"						TygerClaw LCD1006BLK Low-Profile (Fixed) wall mount is designed for most 23-inch to 37-inch flat-panel TVs up to 99 pounds and is constructed from heavy-gauge steel for total support and durability, also an innovative locking mechanism gives quick and easy installation.			[4537]
2669			Black						19			Celebrate art and the tradition of masquerades with this awesome decorative black crow's beak carnival mask wall hanging. Crafted from cast resin in a powder finish highlighted with a glossy textured tribal pattern, this 5.5 inch high, 6.5 inch wide (14 X 17 cm) mask extends from the wall 9 inches (23 cm) for a truly unique and eye-catching display. It easily mounts to the wall using the attached nylon rope hanger, and is perfect for your Halloween decorations. This carnival style mask wall hanging is amazing for everyday decor, too! It's a great gift for masks collectors sure to be admired!	Black Patterned Crow Beak Carnival Mask Wall Hanging						<ul><li>5 1/2 in. High, 6 1/2 in. Wide, 9 in. Deep</li><li>Expertly Cast in Resin</li><li>Flat Black Finish w/Glossy Tribal Pattern Design</li><li>Attached Hanger on the Back</li><li>Great for Halloween or Everyday Decor</li></ul>			[4537]
2670	Circuit City		Multicolor						19			SKU: VNPWR360	Optical Quantum OQDMR16LS 100 Pack 16x 4. 7GB DVD-R Gold LightScribe Blank Media	.								[127175]
2671									1		Not Rated	Gun Video DVD - The One Mile Shot - G. David Tubb  is a part of the high quality and dependable DV-Instructional Videos & DVDs from Gun Video. All of the features you need for a price you want. DV-Instructional Videos & DVDs from Gun Video are well known for their quality and Gun Video DVD - The One Mile Shot - G. David Tubb  upholds that standard.	Gun Video DVD - The One Mile Shot - G. David Tubb	Gun Video DVD - The One Mile Shot - G. David Tubb								[522484]
2672	Pcrush		Multicolor						1			SKU: DHDS2038	Audiovox Electronics Corp.  DS2038 10 inch Hidef Swivel Display Dvd	"Audiovox DS2038 Portable DVD Player - 10"" Display - 1024 x 600 - Black"								[62056]
